File_Name,CIK,datadate,announce_date,tic,AbnReturn
1062478-0001157523-13-000459.txt,1062478,12/31/2012,2013-02-04,BIRT,2.263554407
30305-0001193125-12-214989.txt,30305,3/31/2012,2012-05-02,DCO,-10.89772165
317540-0001628280-20-002207.txt,317540,12/31/2019,2020-02-25,COKE,-21.1346764
64803-0000064803-15-000021.txt,64803,3/31/2015,2015-05-01,CVS,-0.367423523
889348-0000889348-12-000024.txt,889348,6/30/2012,2012-07-25,CVU,-4.304763896
101594-0000101594-13-000010.txt,101594,12/31/2012,2013-03-15,USEG,-6.571421096
887226-0001144204-12-049582.txt,887226,6/30/2012,2012-09-04,PRCP,-7.360398582
356213-0000950123-11-017507.txt,356213,12/31/2010,2011-02-24,PNK,-4.73080348
1537054-0001193125-18-242138.txt,1537054,6/30/2018,2018-08-08,GOGO,10.79505147
1579910-0001579910-20-000012.txt,1579910,6/30/2020,2020-08-05,RESN,-13.11166139
802481-0001206774-13-000616.txt,802481,12/31/2012,2013-02-14,PPC,1.154992472
866706-0000866706-11-000020.txt,866706,9/30/2011,2011-11-03,ESE,-3.67694116
1065837-0001299933-12-000969.txt,1065837,3/31/2012,2012-04-25,SKX,17.23334111
1770450-0001628280-19-012638.txt,108772,9/30/2019,2019-10-29,XRX,10.34025191
49826-0000049826-20-000050.txt,49826,3/31/2020,2020-05-05,ITW,-1.882089459
100726-0001437749-12-007180.txt,100726,6/30/2012,2012-07-25,UFI,2.218519261
9984-0000009984-11-000101.txt,9984,9/30/2011,2011-10-28,B,-4.806323418
1324272-0001564590-18-002548.txt,1324272,12/31/2017,2018-02-21,RUTH,10.3660225
846913-0000846913-15-000082.txt,846913,9/30/2015,2015-11-05,FTEK,3.091692011
1350381-0001628280-17-011081.txt,1350381,9/30/2017,2017-11-07,INWK,-0.188780908
92380-0000092380-17-000006.txt,92380,12/31/2016,2017-01-26,LUV,7.055185239
1434729-0001171843-11-001268.txt,1434729,3/31/2011,2011-05-04,HSNI,-0.223252216
1350381-0001144204-15-028406.txt,1350381,3/31/2015,2015-05-07,INWK,-2.222862182
1263074-0000943374-10-000461.txt,1263074,12/31/2009,2010-03-11,PRPX,-0.935048245
70866-0001193125-11-023184.txt,70866,12/31/2010,2011-02-03,NCR,8.106586443
1050915-0001193125-17-246716.txt,1050915,6/30/2017,2017-08-03,PWR,5.992057627
1013934-0001157523-20-001438.txt,1013934,9/30/2020,2020-11-03,STRA,-15.2356173
23111-0001193125-16-472500.txt,23111,12/31/2015,2016-02-18,CTG,-17.9205815
877422-0001193125-12-236701.txt,877422,3/31/2012,2012-05-16,SPTN,1.169113075
1077183-0001077183-19-000047.txt,1077183,3/31/2019,2019-04-30,NEO,8.39130823
815556-0000815556-20-000003.txt,815556,12/31/2019,2020-01-17,FAST,-3.178847787
1334036-0001104659-14-032920.txt,1334036,3/31/2014,2014-04-30,CROX,-1.247726459
1324404-0001104659-11-059564.txt,1324404,9/30/2011,2011-11-01,CF,6.42572765
764401-0000950123-10-036963.txt,764401,3/31/2010,2010-04-22,IIIN,3.722925541
1666138-0001666138-19-000012.txt,1666138,12/31/2018,2019-02-06,ATKR,-2.86216759
319815-0000319815-16-000140.txt,319815,6/30/2016,2016-08-02,MXWL,-10.16850114
1362468-0001362468-14-000018.txt,1362468,3/31/2014,2014-04-23,ALGT,0.365283147
1289308-0001628280-15-006118.txt,1289308,6/30/2015,2015-07-30,ENS,-11.30602337
1288469-0001288469-19-000171.txt,1288469,9/30/2019,2019-10-24,MXL,-11.89250117
1419581-0001144204-12-041051.txt,1419581,6/30/2012,2012-07-26,FDML,-0.268319621
1111247-0001171843-10-001442.txt,1111247,6/30/2010,2010-06-30,RNOW,-2.993953383
899751-0000899751-12-000032.txt,899751,3/31/2012,2012-04-25,TWI,13.20732289
1219601-0001219601-15-000030.txt,1219601,6/30/2015,2015-07-20,CCK,-2.497457514
54381-0000054381-15-000041.txt,54381,6/30/2015,2015-07-30,KAMN,-1.403896146
27996-0001299933-11-003142.txt,27996,9/30/2011,2011-10-27,DLX,-2.754495276
1659166-0001659166-20-000135.txt,1659166,6/30/2020,2020-07-28,FTV,-0.216287033
1169561-0001628280-15-003603.txt,1169561,3/31/2015,2015-05-05,CVLT,-1.379640099
1069878-0001157523-18-000379.txt,1069878,12/31/2017,2018-02-21,TREX,-1.802828973
720500-0000720500-18-000015.txt,720500,12/31/2017,2018-02-08,ASYS,-4.287419274
88205-0000088205-20-000039.txt,88205,9/30/2020,2020-10-29,SPXC,-0.942046141
1003130-0001193125-12-177601.txt,1003130,3/31/2012,2012-04-24,LCAV,0.921488012
864749-0000864749-20-000112.txt,864749,6/30/2020,2020-08-05,TRMB,6.808615212
1066605-0001193125-16-472792.txt,1066605,12/31/2015,2016-02-23,HSII,1.533308294
1069202-0001193125-14-149734.txt,1069202,3/31/2014,2014-04-21,LII,-6.231288805
1579910-0001579910-20-000006.txt,1579910,3/31/2020,2020-05-06,RESN,0.243982906
1053650-0001437749-14-014445.txt,1053650,6/30/2014,2014-08-06,OME,-17.41702055
1029506-0001029506-11-000006.txt,1029506,12/31/2010,2010-12-31,RAH,7.169167371
1462418-0001462418-17-000016.txt,1462418,3/31/2017,2017-04-27,ASPS,5.562289184
315852-0001193125-15-064783.txt,315852,12/31/2014,2015-02-24,RRC,-1.651131997
1320854-0000950123-11-045541.txt,1320854,3/31/2011,2011-05-05,RAIL,-1.113214881
1037016-0001037016-13-000036.txt,1037016,6/30/2013,2013-08-01,NIHD,-8.832318745
1320414-0001104659-13-061815.txt,1320414,6/30/2013,2013-08-08,SEM,0.467640896
1034760-0001654954-19-013097.txt,1034760,9/30/2019,2019-11-14,WYY,14.63978676
789570-0001564590-18-002404.txt,789570,12/31/2017,2018-02-20,MGM,0.973143148
912562-0001193125-13-194696.txt,912562,3/31/2013,2013-05-02,ROCK,-9.563215679
913241-0001019056-14-000287.txt,913241,12/31/2013,2014-02-25,SHOO,3.418325338
97134-0000097134-13-000026.txt,97134,6/30/2013,2013-07-25,TNC,-2.577694977
1272842-0001564590-19-002996.txt,1272842,12/31/2018,2019-02-14,AIRG,21.12758793
215466-0000215466-17-000101.txt,215466,6/30/2017,2017-07-26,CDE,-3.428394873
1002517-0001002517-15-000010.txt,1002517,12/31/2014,2015-02-05,NUAN,-2.082493037
1477246-0001136261-16-000619.txt,1477246,6/30/2016,2016-09-15,SANW,4.501681885
1580905-0001193125-19-055504.txt,1580905,12/31/2018,2019-02-28,IBP,3.08630922
890447-0001580695-18-000255.txt,890447,3/31/2018,2018-05-15,VTNR,-23.4726634
1418135-0001418135-19-000035.txt,1418135,3/31/2019,2019-05-09,KDP,3.233193453
1141107-0000950123-10-038902.txt,1141107,3/31/2010,2010-04-27,ARRS,-0.802544864
1123494-0001171843-19-001380.txt,1123494,12/31/2018,2019-02-28,HBIO,2.690285553
1133421-0001193125-12-033237.txt,1133421,12/31/2011,2012-02-01,NOC,-2.816488521
1280452-0001437749-12-010816.txt,1280452,9/30/2012,2012-11-01,MPWR,-0.270690681
1019034-0001437749-18-010081.txt,1019034,3/31/2018,2018-05-15,BKYI,-7.802941701
724004-0001437749-20-012134.txt,724004,3/31/2020,2020-06-01,MLAB,-13.44999496
1459200-0001459200-18-000017.txt,1459200,3/31/2018,2018-05-03,ALRM,-7.676065736
